share_routed,R0,R1,R2,R3,oracle_route
0.0,3.514154001626586,3.514154001626586,3.514154001626586,3.514154001626586,3.514154001626586
0.05,3.5504460475708317,3.628407355182883,3.6426627633725794,3.6095498219248427,3.2633328082046242
0.1,3.5956121281685185,3.7025409983937636,3.7268640958093564,3.6716935431873745,3.1313114498961783
0.15,3.6281271148287555,3.762898115720686,3.769124113012239,3.721348398378089,3.0365977290953916
0.2,3.6817303448536647,3.8190017770597167,3.802750044196241,3.7715462704993987,2.9672984197614527
0.25,3.7198881976275664,3.8560202116160016,3.839070435241342,3.8153264010880354,2.918507307233255
0.3,3.7664537306671164,3.8922499729204314,3.8814010138688126,3.8639397281749677,2.8863344152641677
0.35,3.8137296249406525,3.9218372246939106,3.9268335696714733,3.909143581246435,2.8693361590840736
0.4,3.850024323110074,3.95060302282912,3.966619409993209,3.954693099562728,2.8661395381045573
0.45,3.887558142638189,3.9836158065195373,4.003768750267956,3.991935751752804,2.876995444108538
0.5,3.93085159038351,4.013668408243503,4.046455710468545,4.031114953650946,2.9012030350819464
0.55,3.9753317924931255,4.047629466701774,4.084808232659046,4.079990031156898,2.938780073198801
0.6,4.023167345828616,4.081738116550028,4.120040580190349,4.11597194434991,2.9912929033043656
0.65,4.067229650206317,4.115093209241418,4.155336226564094,4.154857981715763,3.059123108038207
0.7,4.115216863651198,4.150757189299235,4.1913333843429035,4.187286038361035,3.1435182726915496
0.75,4.152288564964916,4.1860458456665715,4.222724200906994,4.222215361812709,3.2456743876025347
0.8,4.1974823903317136,4.222916310650071,4.25644253256478,4.252080341967792,3.3679592599774835
0.85,4.241736513733635,4.260338752612029,4.29056748460054,4.281037019814813,3.514499976706772
0.9,4.2832920836058905,4.297195003014459,4.318497090650036,4.311306536697001,3.6944021247127665
0.95,4.324847947955157,4.334603338635421,4.347383074267906,4.339877716629232,3.9258001496890396
1.0,4.366581147852528,4.366581147852528,4.366581147852528,4.366581147852528,4.366581147852528
